year,farm,block,Treatment,pollenMix,No.visits,initial,final
2017,aeroview,hb2,C,na,na,0,0
2017,aeroview,hb2,C,na,na,0,0
2017,aeroview,hb2,C,na,na,0,0
2017,aeroview,hb2,C,na,na,0,0
2017,aeroview,hb2,C,na,na,0,0
2017,aeroview,hb2,C,na,na,0,0
2017,aeroview,hb2,C,na,na,0,0
2017,aeroview,hb2,C,na,na,0,0
2017,aeroview,hb2,C,na,na,0,0
2017,aeroview,hb2,C,na,na,0,0
2017,ausfarm,acr,C,na,na,0,0
2017,ausfarm,acr,C,na,na,0,0
2017,ausfarm,acr,C,na,na,0,0
2017,ausfarm,acr,C,na,na,0,0
2017,ausfarm,acr,C,na,na,0,0
2017,ausfarm,acr,C,na,na,0,0
2017,ausfarm,acr,C,na,na,0,0
2017,ausfarm,acr,C,na,na,0,0
2017,ausfarm,acr,C,na,na,0,0
2017,ausfarm,acr,C,na,na,0,0
2017,ausfarm,acr,C,na,na,0,0
2017,ausfarm,acr,C,na,na,0,0
2017,ausfarm,acr,C,na,na,0,0
2017,ausfarm,acr,C,na,na,0,0
2017,ausfarm,Bert,C,na,na,0,0
2017,ausfarm,Bert,C,na,na,0,0
2017,ausfarm,Bert,C,na,na,0,0
2017,ausfarm,Bert,C,na,na,0,0
2017,ausfarm,Bert,C,na,na,0,0
2017,ausfarm,Bert,C,na,na,0,0
2017,ausfarm,Bert,C,na,na,0,0
2017,ausfarm,Bert,C,na,na,0,0
2017,ausfarm,Bert,C,na,na,0,0
2017,ausfarm,Bert,C,na,na,0,0
2017,fastfruit,pit,C,na,na,0,0
2017,fastfruit,pit,C,na,na,0,0
2017,fastfruit,pit,C,na,na,0,0
2017,fastfruit,pit,C,na,na,0,0
2017,fastfruit,pit,C,na,na,0,0
2017,fastfruit,pit,C,na,na,0,0
2017,Nicoletti,23,C,na,na,0,0
2017,Nicoletti,23,C,na,na,0,0
2017,Nicoletti,23,C,na,na,0,0
2017,Nicoletti,23,C,na,na,0,0
2017,Nicoletti,23,C,na,na,0,0
2017,Nicoletti,23,C,na,na,0,0
2017,Nicoletti,23,C,na,na,0,0
2017,Nicoletti,23,C,na,na,0,0
2017,Nicoletti,23,C,na,na,0,0
2017,savio,bir,C,na,na,0,0
2017,savio,bir,C,na,na,0,0
2017,savio,bir,C,na,na,0,0
2017,savio,bir,C,na,na,0,0
2017,savio,bir,C,na,na,0,0
2017,savio,bir,C,na,na,0,0
2017,savio,bir,C,na,na,0,0
2017,savio,bir,C,na,na,0,0
