day,month,farm,block,row#,tree#,treatment,pollenmix,uid,no.visits,final,year,seedcount,age,carpel 1,carpel 2,carpel 3,carpel 4,carpel 5,carpel 6,carpel 7,carpel 8,carpel 9,measurer,seeds
15,10,aeroview,hb2,13,54,o,na,1510hb2_O_fs013,NA,1,2018,0,173,NA,NA,NA,NA,NA,NA,NA,NA,NA,GB,0
16,10,ausfarm,bri,26,43,hp,PL_mix,1610bri_HP_fs009,NA,1,2018,0,171,NA,NA,NA,NA,NA,NA,NA,NA,NA,GB,0
2,10,ausfarm,v1,30,84,o,na,210v1_O_fs2,NA,1,2018,6,245,2,2,0,1,1,NA,NA,NA,NA,LK,0
27,9,savio,bir,11,80,hp,mix,279bir_HP_fs39,NA,1,2018,8,200,2,2,2,1,1,NA,NA,NA,NA,LK,0
29,9,ausfarm,v1,62,35,hp,mix,299v1_HP_fs113,NA,1,2018,0,188,NA,NA,NA,NA,NA,NA,NA,NA,NA,GB,0
26,9,ausfarm,ber,NA,NA,hp,mix,Aus_Bert_ C-HP _ 1 _ 4,NA,1,2017,0,201,NA,NA,NA,NA,NA,NA,NA,NA,NA,LK,0
15,10,aeroview,hb2,14,50,o,na,1510hb2_O_fs017,NA,1,2018,1,173,1,0,0,0,0,NA,NA,NA,NA,GB,1
30,9,ausfarm,acr,40,21,hp,PL_mix,309acr_HP_fs121,NA,1,2018,1,187,0,0,0,1,0,NA,NA,NA,NA,LK,1
6,10,nicoletti,23,NA,NA,o,na,Nic_23_ O _ 1 _ 2,NA,1,2017,1,191,NA,NA,NA,NA,NA,NA,NA,NA,NA,LK,1
29,9,rizzatto,cos,37,12,v,na,299cos_v_fs410,8,1,2018,1,248,1,0,0,0,0,NA,NA,NA,NA,LK,1
4,10,savio,for,31,15,o,na,410for_O_fs215,NA,1,2018,1.1,184,0.1,0,1,0,0,NA,NA,NA,NA,LK,1
30,9,ausfarm,acr,40,21,hp,mix,309acr_HP_fs21,NA,1,2018,1.8,187,0.1,0.2,0.2,1.1,0.2,NA,NA,NA,NA,GB,2
15,10,aeroview,hb2,5,41,o,na,1510hb2_O_fs010,NA,1,2018,2,173,2,0,0,0,0,NA,NA,NA,NA,GB,2
15,10,aeroview,hb2,5,47,o,na,1510hb2_O_fs011,NA,1,2018,2,173,1,1,0,0,0,NA,NA,NA,NA,GB,2
3,10,ausfarm,v1,59,44,c,na,310v1_C_fs11,NA,1,2018,2,184,2,0,0,0,0,NA,NA,NA,NA,LK,2
3,10,ausfarm,v1,37,57,c,na,310v1_C_fs16,NA,1,2018,2,184,1,1,0,0,0,NA,NA,NA,NA,LK,2
8,10,aeroview,hb2,NA,NA,o,na,Aer_House Block 2_ O _ 1 _ 3,NA,1,2017,2,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,LK,2
29,9,rizzatto,cos,5,76,v,na,299cos_v_fs102,4,1,2018,2,248,1,0,0,0,1,NA,NA,NA,NA,LK,2
