flow.stigma,stigmanum,uID,No.visits,year,Farm,Treatment,tc,variable,value,time,valbin
6,A,199cos_c_st009,na,2018,rizzatto,C,Control,TotPollen,0,1,1
6,B,199cos_c_st009,na,2018,rizzatto,C,Control,TotPollen,0,1,1
6,C,199cos_c_st009,na,2018,rizzatto,C,Control,TotPollen,0,1,1
6,D,199cos_c_st009,na,2018,rizzatto,C,Control,TotPollen,1,1,0
6,E,199cos_c_st009,na,2018,rizzatto,C,Control,TotPollen,0,1,1
211,A,139for_c_st020,na,2018,savio,C,Control,TotPollen,341,1,0
211,B,139for_c_st020,na,2018,savio,C,Control,TotPollen,0,1,1
211,C,139for_c_st020,na,2018,savio,C,Control,TotPollen,81,1,0
288,E,139for_c_st009,na,2018,savio,C,Control,TotPollen,34,1,0
288,D,139for_c_st009,na,2018,savio,C,Control,TotPollen,60,1,0
288,C,139for_c_st009,na,2018,savio,C,Control,TotPollen,14,1,0
288,B,139for_c_st009,na,2018,savio,C,Control,TotPollen,37,1,0
288,A,139for_c_st009,na,2018,savio,C,Control,TotPollen,21,1,0
97,a,179pit_c_st012,na,2018,fastfruit,C,Control,TotPollen,0,1,1
97,b,179pit_c_st012,na,2018,fastfruit,C,Control,TotPollen,1,1,0
97,c,179pit_c_st012,na,2018,fastfruit,C,Control,TotPollen,0,1,1
97,d,179pit_c_st012,na,2018,fastfruit,C,Control,TotPollen,0,1,1
97,e,179pit_c_st012,na,2018,fastfruit,C,Control,TotPollen,0,1,1
110,a,159pom_c_st002a,NA,2018,ausfarm,C,Control,TotPollen,29,1,0
110,b,159pom_c_st002a,NA,2018,ausfarm,C,Control,TotPollen,54,1,0
110,c,159pom_c_st002a,NA,2018,ausfarm,C,Control,TotPollen,96,1,0
110,d,159pom_c_st002a,NA,2018,ausfarm,C,Control,TotPollen,124,1,0
110,e,159pom_c_st002a,NA,2018,ausfarm,C,Control,TotPollen,38,1,0
14,A,2029,na,2017,Ausfarm,C,Control,TotPollen,26,1,0
14,B,2029,na,2017,Ausfarm,C,Control,TotPollen,2,1,0
14,C,2029,na,2017,Ausfarm,C,Control,TotPollen,21,1,0
14,D,2029,na,2017,Ausfarm,C,Control,TotPollen,6,1,0
14,E,2029,na,2017,Ausfarm,C,Control,TotPollen,9,1,0
16,A,5001,na,2017,Ausfarm,C,Control,TotPollen,6,1,0
16,B,5001,na,2017,Ausfarm,C,Control,TotPollen,18,1,0
16,C,5001,na,2017,Ausfarm,C,Control,TotPollen,5,1,0
16,D,5001,na,2017,Ausfarm,C,Control,TotPollen,18,1,0
16,E,5001,na,2017,Ausfarm,C,Control,TotPollen,33,1,0
17,A,5008,na,2017,Ausfarm,C,Control,TotPollen,0,1,1
17,B,5008,na,2017,Ausfarm,C,Control,TotPollen,0,1,1
17,C,5008,na,2017,Ausfarm,C,Control,TotPollen,0,1,1
17,D,5008,na,2017,Ausfarm,C,Control,TotPollen,0,1,1
